cities,latitude,longitude,temperature,humidity,cloudiness,wind_speed
Bilma,18.69,12.92,61.84,20,0,5.23
Biltine,14.53,20.93,76.24,20,0,13.85
Birobidzhan,48.79,132.93,42.94,29,24,4.34
Bluff,-23.58,149.07,80.92,58,100,16.31
Boa Vista,2.82,-60.67,78.8,83,90,5.82
Bodden Town,19.28,-81.25,79.3,100,0,12.62
Boende,-0.28,20.88,74.26,93,36,2.89
Boma,11.23,4.46,72.37,68,0,2.62
Bonavista,48.65,-53.11,28.18,96,12,14.63
Bongandanga,1.51,21.07,76.51,89,68,2.77
Borogontsy,62.67,131.17,29.89,66,12,5.01
Bosaso,11.28,49.18,80.6,78,75,2.77
Bouca,6.51,18.28,75.88,88,20,4.79
Bowen,-20.01,148.25,80.6,74,90,16.11
Brae,60.4,-1.35,32.77,80,20,1.12
Bredasdorp,-34.53,20.04,62.6,82,68,16.11
Broken Hill,-31.97,141.45,81.37,33,0,8.93
Broome,52.47,1.45,41.0,86,0,9.17
Bubaque,11.28,-15.83,75.52,100,0,12.46
Bud,62.91,6.91,34.41,86,75,3.36
Buin,-33.73,-70.74,60.8,59,0,4.7
Bumba,2.18,22.47,76.51,91,44,3.85
Buraydah,26.33,43.97,66.2,100,5,5.82
Burnie,-41.05,145.91,61.84,100,12,10.27
Busselton,-33.64,115.35,72.73,90,0,4.74
Butaritari,3.07,172.79,82.72,100,0,8.25
Cabo San Lucas,22.89,-109.91,73.4,27,40,6.93
Cagliliog,13.9,123.29,79.12,86,88,8.1
Calvinia,-31.47,19.78,42.85,85,24,2.62
Campbell River,50.02,-125.24,46.4,100,90,11.41
Caohai,26.87,104.28,38.53,88,92,8.1
Cape Town,-33.93,18.42,59.0,93,75,8.05
Caravelas,-17.73,-39.27,80.92,100,8,13.96
Carbonia,39.17,8.53,45.59,100,0,6.93
Carnarvon,-30.97,22.13,53.74,91,48,4.52
Carutapera,-1.2,-46.02,76.42,97,80,3.29
Castro,-42.48,-73.76,46.18,87,88,3.4
Ceres,-29.88,-61.95,68.41,96,92,3.4
Charters Towers,-20.07,146.27,71.56,98,92,9.93
Cherskiy,68.75,161.3,29.89,70,0,2.84
Chhindwara,22.06,78.94,97.66,21,8,9.33
Chifeng,42.27,118.96,28.27,77,56,15.7
Chokurdakh,70.62,147.9,16.93,92,8,8.81
Chowchilla,37.12,-120.26,61.57,82,75,8.05
Christchurch,-43.53,172.64,69.8,40,64,21.92
Chumikan,54.72,135.31,29.98,57,56,2.84
Chuy,-33.69,-53.46,63.91,96,0,7.58
Cidreira,-30.17,-50.22,59.59,91,0,2.89
Cilegon,-6.02,106.05,89.6,66,40,4.7
Cintalapa,16.7,-93.73,68.41,89,76,2.73
Ciudad Bolivar,8.12,-63.55,79.48,63,8,11.79
Clyde River,70.47,-68.59,-7.61,83,90,9.17
Cockburn Town,21.46,-71.14,75.52,100,24,6.76
Codrington,-28.95,153.24,71.29,77,76,6.13
Coihaique,-45.58,-72.07,41.0,86,75,4.7
College,64.86,-147.8,30.83,42,1,8.05
Constitucion,23.99,-104.67,50.5,32,0,7.92
Coquimbo,-29.95,-71.34,59.0,82,90,4.7
Creel,27.75,-107.63,49.96,45,0,3.62
Culpeper,38.47,-78.0,45.39,29,90,3.36
Dakar,14.69,-17.45,66.2,88,0,9.17
Dalby,-27.18,151.26,78.8,41,0,19.46
Darnah,32.77,22.64,62.29,100,56,30.47
Daura,13.04,8.32,64.45,31,0,6.42
Dayong,11.74,122.04,79.84,100,20,11.68
Deputatskiy,69.3,139.9,24.04,85,12,3.89
Dikson,73.51,80.55,-11.24,94,12,17.87
Dingle,11.0,122.67,81.64,82,24,8.77
Dong Hoi,17.48,106.6,75.61,94,76,13.35
Dubti,11.74,41.09,82.9,53,44,4.79
Dunedin,-45.87,170.5,53.2,98,92,8.43
East London,-33.02,27.91,69.8,77,0,4.7
El Vigia,26.85,-109.72,59.23,85,0,4.29
Emba,34.81,32.42,63.34,49,0,2.24
Emerald,-23.53,148.16,80.47,60,100,13.62
Erzin,36.95,36.2,57.9,55,0,5.82
Esil,51.96,66.41,37.09,95,80,16.49
Esperance,10.24,-61.45,71.6,94,20,4.74
Essau,13.48,-16.54,68.0,82,0,3.36
Esso,55.93,158.7,22.96,88,64,5.35
Ewa Beach,21.32,-158.01,77.52,94,90,14.99
Faanui,-16.48,-151.75,82.45,100,44,8.14
Fairbanks,64.84,-147.72,30.83,42,1,8.05
Fare,-16.7,-151.02,83.17,97,80,8.1
Faya,18.39,42.45,66.2,77,20,16.11
Flin Flon,54.77,-101.88,14.14,67,68,12.35
Fort Nelson,58.81,-122.69,14.0,43,5,6.93
Fortuna,38.18,-1.13,59.0,47,0,5.82
Fremont,37.55,-121.99,56.8,93,90,3.36
Gamba,28.28,88.52,26.02,90,8,3.0
Gari,59.43,62.35,35.83,75,80,7.65
Gat,14.69,-16.54,71.6,68,0,6.93
Gbarnga,7.0,-9.47,71.11,99,88,6.24
Gboko,7.32,9.0,76.42,89,12,9.15
Georgetown,6.8,-58.16,73.81,87,32,4.79
Geraldton,49.72,-86.95,15.8,85,90,2.24
Gigmoto,13.78,124.39,81.64,97,64,6.08
Goma,-1.67,29.23,61.3,100,80,2.55
Gornopravdinsk,60.06,69.92,36.91,81,80,7.92
Gorontalo,0.54,123.06,84.79,73,24,1.99
Grand Gaube,-20.01,57.66,78.8,88,75,3.36
Gravdal,59.79,5.78,35.6,100,40,6.93
Grindavik,63.84,-22.43,29.25,58,20,6.93
Guerrero Negro,27.97,-114.04,55.36,100,0,9.55
Guymon,36.68,-101.48,51.89,46,1,9.17
Hailar,49.2,119.7,31.96,32,68,21.97
Hailey,43.52,-114.32,46.4,65,90,4.7
Haines Junction,60.75,-137.51,9.37,80,56,1.61
Hambantota,6.12,81.12,85.15,100,12,3.11
Hami,42.84,93.51,54.64,40,0,7.36
Hamilton,43.26,-79.87,27.99,86,20,8.05
Hammerfest,70.66,23.68,29.7,68,0,5.08
Hasaki,35.73,140.83,68.58,52,75,24.16
Hauterive,46.09,3.45,39.13,80,0,4.23
Havoysund,71.0,24.66,26.6,68,0,2.62
Hearst,49.69,-83.67,10.81,77,24,2.77
Hermanus,-34.42,19.24,56.44,96,100,4.23
Hilo,19.71,-155.08,80.6,69,1,9.17
Hisor,38.53,68.55,66.2,42,32,4.47
Hit,33.64,42.83,72.64,19,0,5.23
Hithadhoo,-0.6,73.08,84.61,100,88,6.87
Hobart,-42.88,147.33,57.2,62,75,8.05
Hobyo,5.35,48.53,83.26,93,56,2.1
Hofn,64.25,-15.21,27.01,100,0,7.31
Honiara,-9.43,159.96,77.0,94,75,3.36
Hualmay,-11.1,-77.61,62.56,98,20,4.29
Huanren,41.26,125.37,35.02,74,76,8.88
Huarmey,-10.07,-78.15,60.76,89,44,3.06
Husavik,50.56,-96.99,4.96,59,0,13.91
Idah,7.11,6.73,73.99,98,0,4.9
Igarka,67.47,86.57,-6.11,87,0,12.91
Ilebo,-4.33,20.59,75.16,91,8,2.77
Ilek,51.53,53.38,33.76,97,20,10.27
Ilulissat,69.22,-51.1,5.0,84,0,3.56
Innisfail,52.02,-113.95,-2.21,77,20,2.24
Inongo,-1.93,18.29,72.91,100,80,2.55
Inverbervie,56.85,-2.28,41.0,93,92,9.17
Iqaluit,63.75,-68.52,21.2,62,75,23.04
Isangel,-19.55,169.27,79.12,100,68,20.67
Isiro,2.77,27.62,68.68,98,68,2.89
Itacoatiara,-3.14,-58.44,73.18,100,80,3.78
Itaqui,-29.13,-56.55,67.51,85,0,5.57
Itarema,-2.92,-39.92,73.99,98,68,2.62
Ivanteyevka,55.97,37.92,38.71,80,44,6.71
Ixtapa,20.71,-105.21,71.6,88,5,1.99
Jamestown,-33.21,138.6,80.2,32,0,3.56
Jiexiu,37.02,111.92,35.11,51,12,19.06
Juegang,32.31,121.18,58.42,70,0,16.64
Jumla,29.28,82.18,46.54,74,12,1.88
Kahului,20.89,-156.47,75.13,94,90,13.87
Kaitangata,-46.28,169.85,50.68,99,92,8.81
Kalabo,-15.0,22.67,66.16,100,88,4.41
Kamenka,53.19,44.05,34.84,90,0,4.34
Kantabanji,20.47,82.92,100.36,30,20,9.33
Kapaa,22.08,-159.32,73.4,94,90,14.99
Karaton,-6.34,106.1,89.6,66,40,4.7
Karla,59.37,24.93,39.2,100,90,11.41
Katangli,51.71,143.23,28.18,100,80,4.12
Katherine,-14.47,132.26,98.6,27,40,6.93
Katobu,-4.94,122.53,89.92,72,44,2.89
Katsuura,33.93,134.5,65.75,68,75,18.34
Kavaratti,10.57,72.64,86.32,100,0,5.08
Kavieng,-2.57,150.8,85.78,99,0,7.54
Kayerkan,69.35,87.76,-11.78,76,8,7.87
Kenai,60.55,-151.26,35.64,69,1,6.93
Keti Bandar,24.14,67.45,80.2,95,0,11.39
Khandbari,27.38,87.21,43.66,69,24,0.72
Khash,28.22,61.21,80.11,22,0,4.34
Khatanga,71.98,102.47,2.62,96,64,13.69
Khor,47.88,134.96,39.97,64,0,4.34
Kidal,18.44,1.41,60.85,25,12,3.85
Kieta,-6.22,155.63,81.73,96,44,8.66
Kiknur,57.3,47.21,38.17,79,48,4.0
Kilindoni,-7.91,39.67,80.74,100,56,7.76
Kinablangan,7.69,126.55,81.28,100,0,11.05
Kisangani,0.52,25.21,71.29,100,76,2.89
Kiunga,-6.12,141.3,88.66,60,36,3.0
Klaksvik,62.23,-6.59,32.0,100,88,4.7
Kloulklubed,7.04,134.26,86.0,74,75,14.99
Kodiak,39.95,-94.76,46.4,52,1,13.87
Komsomolskiy,67.55,63.78,5.05,85,0,8.59
Konstantinovka,47.99,28.86,49.96,77,24,6.31
Kontagora,10.4,5.47,72.46,69,0,4.41
Kosh-Agach,49.99,88.66,42.49,37,0,2.28
Koumac,-20.56,164.28,80.11,82,80,2.55
Kourou,5.16,-52.64,75.2,94,88,1.12
Kozhva,65.11,57.05,34.39,90,0,4.29
Kralendijk,12.15,-68.27,77.0,83,68,9.17
Krasnoyarsk,56.01,92.87,46.4,24,0,6.71
Kruisfontein,-34.0,24.73,69.49,94,92,14.85
Kushima,31.5,131.29,64.98,83,75,17.22
Kutum,14.2,24.66,67.96,20,0,10.78
Kyshtovka,56.56,76.62,30.97,97,76,8.1
La Ronge,55.1,-105.3,5.0,60,5,9.17
Lac du Bonnet,50.25,-96.06,4.24,52,0,15.82
Lagoa,37.14,-8.45,51.8,76,0,4.7
Laguna,27.52,-110.01,63.64,61,0,1.88
Lakes Entrance,-37.88,147.99,65.44,83,20,4.56
Lavrentiya,65.58,-170.99,11.53,95,32,24.76
Lebu,8.96,38.73,60.8,77,75,3.56
Leeuwarden,53.2,5.79,35.6,100,90,6.93
Leningradskiy,69.38,178.42,-0.53,79,36,4.85
Lichinga,-13.3,35.25,69.58,94,68,3.74
Lima,-12.06,-77.04,54.73,88,8,1.83
Linjiang,41.81,126.91,32.77,80,80,8.43
Lobito,-12.35,13.55,80.6,78,75,3.85
Lompoc,34.64,-120.46,53.26,66,1,9.44
Longyearbyen,78.22,15.63,5.0,65,20,13.87
Lorengau,-2.02,147.27,83.8,97,80,7.02
Los Llanos de Aridane,28.66,-17.92,60.8,72,0,4.7
Luang Prabang,19.89,102.14,87.8,55,40,4.7
Lucapa,-8.42,20.74,67.96,100,92,4.07
Luderitz,-26.65,15.16,57.2,87,88,11.41
Luebo,-5.35,21.42,73.63,94,36,2.84
Luena,-11.78,19.91,64.63,98,44,3.85
Luganville,-15.51,167.18,80.74,100,76,5.91
Mackay,53.65,-115.58,10.4,60,1,6.93
Magnolia,33.27,-93.24,59.04,82,90,2.06
Mago,53.27,140.15,28.99,60,0,4.85
Mahebourg,-20.41,57.7,78.8,88,75,3.36
Mahibadhoo,3.78,72.97,85.33,100,32,4.9
Mairi,-11.71,-40.15,70.48,83,0,3.85
Majene,-3.54,118.97,84.52,96,24,6.42
Makakilo City,21.35,-158.09,77.52,94,90,14.99
Makasar,-6.28,106.88,89.6,66,40,4.7
Malinovoye Ozero,51.68,79.77,46.36,75,24,11.9
Malinovskiy,54.15,34.53,42.04,93,36,12.95
Malm,64.07,11.22,34.75,86,75,2.24
Mandalgovi,45.76,106.27,31.06,77,0,14.97
Manggar,-2.88,108.27,86.59,90,20,4.12
Mar del Plata,-46.43,-67.52,45.46,79,0,14.36
Maraba,-5.35,-49.1,77.0,94,40,3.36
Marawi,8.0,124.29,78.04,80,12,3.33
Margate,-43.03,147.26,57.2,62,75,8.05
Masterton,-40.95,175.66,62.56,52,0,13.35
Matagami,9.67,8.4,63.55,84,0,3.74
Mataura,-46.19,168.86,49.6,100,92,9.33
Mawlaik,23.63,94.42,84.7,58,12,2.84
Mazagao,-0.12,-51.29,77.0,100,90,2.24
Mehamn,71.03,27.85,25.05,73,0,8.05
Merauke,-8.49,140.4,85.24,86,8,8.03
Meulaboh,4.14,96.13,83.8,100,56,4.63
Mikhaylovka,52.96,103.29,42.49,47,36,5.41
Miri,10.31,9.75,63.01,58,0,2.84
Moerai,-22.43,-151.33,79.12,100,100,7.92
Montepuez,-13.13,39.0,76.42,92,24,5.91
Mount Gambier,-37.83,140.78,65.89,69,0,3.56
Mount Isa,-20.73,139.49,91.4,21,40,9.17
Moyobamba,-6.03,-76.97,68.05,97,48,1.61
Muskegon,43.23,-86.25,34.38,80,90,5.82
Nabha,30.37,76.15,89.56,40,80,4.23
Nabisar,25.07,69.64,91.63,45,0,5.53
Nadlac,46.17,20.75,52.23,100,90,3.36
Nador,35.17,-2.93,57.72,87,90,2.24
Najran,17.54,44.22,80.6,28,0,9.17
Namatanai,-3.66,152.44,84.43,97,24,5.23
Namibe,-15.19,12.15,74.71,100,80,3.78
Namie,37.52,140.86,54.07,100,75,11.41
Nanortalik,60.14,-45.24,32.14,98,76,27.94
Nemuro,43.32,145.57,32.0,100,75,3.36
New Norfolk,-42.78,147.06,57.2,62,75,8.05
Nikolskoye,59.7,30.79,42.8,93,90,8.95
Nishihara,35.74,139.53,71.28,46,75,17.22
Nome,30.04,-94.42,67.08,88,75,9.17
Norman Wells,65.28,-126.83,21.2,41,20,13.87
North Mankato,44.17,-94.03,27.07,74,75,23.04
Northam,51.04,-4.21,45.34,81,0,18.34
Nouadhibou,20.93,-17.03,60.8,87,0,18.34
Novaya Zaimka,56.49,66.92,34.21,100,92,5.64
Novochernorechenskiy,56.27,91.08,43.3,55,0,3.74
Nuuk,64.17,-51.74,28.4,63,20,17.22
Odemira,37.6,-8.64,39.16,87,0,3.22
Okha,53.59,142.95,24.94,96,12,4.34
Oktyabrskoye,56.73,85.44,42.76,56,20,3.85
Omboue,-1.57,9.26,80.56,100,68,4.85
Orimattila,60.8,25.73,37.4,100,90,6.93
Orlik,52.51,99.83,32.23,66,8,2.62
Oros,47.95,21.8,51.8,87,0,9.17
Ostrovnoy,68.05,39.51,31.51,93,80,9.89
Oussouye,12.49,-16.54,66.2,88,0,6.93
Oxbow,49.23,-102.17,-0.41,64,20,17.22
Paamiut,61.99,-49.67,33.22,89,80,33.49
Pacific Grove,36.62,-121.92,56.32,87,75,2.33
Padang,-0.92,100.36,82.09,100,44,4.12
Paita,-5.09,-81.11,69.31,87,24,3.22
Palauig,15.44,119.9,81.28,89,24,5.12
Palmer,-34.85,139.16,71.6,56,0,9.17
Panama City,30.16,-85.65,51.8,93,1,7.58
Pangnirtung,66.15,-65.72,4.96,76,12,4.07
Parsabad,39.65,47.92,49.24,100,88,2.51
Peabiru,-23.91,-52.35,69.8,73,0,4.7
Pedasi,7.53,-80.03,77.5,93,8,11.61
Pevek,69.7,170.27,15.76,70,0,15.08
Pisco,-13.71,-76.2,68.0,77,0,1.12
Pitalito,1.85,-76.04,56.26,97,92,1.99
Pleshanovo,57.46,28.17,44.6,93,32,4.47
Pombia,45.65,8.63,42.46,93,0,6.93
Ponta do Sol,-20.63,-46.0,60.58,82,12,2.39
Popondetta,-8.77,148.24,73.81,94,88,1.77
Porbandar,21.64,69.61,87.8,62,0,4.7
Porosozero,62.72,32.71,42.76,95,92,9.33
Port Alfred,-33.59,26.89,73.81,81,0,9.37
Port Augusta,-32.49,137.76,73.4,53,0,11.41
Port Elizabeth,39.31,-74.98,34.21,79,1,0.49
Port Hardy,50.7,-127.42,46.4,87,90,21.92
Port Hedland,-20.31,118.58,100.4,24,0,14.99
Port Hueneme,34.15,-119.2,57.2,76,75,8.55
Port Lincoln,-34.72,135.86,67.51,86,0,10.89
Port Macquarie,-31.43,152.91,78.8,57,0,10.29
Portland,45.52,-122.67,53.15,100,90,4.7
Poum,41.28,20.71,46.18,100,92,2.21
Poya,-21.35,165.16,80.74,93,64,14.29
Prado,-17.34,-39.22,81.28,94,76,13.35
Praya,-8.71,116.27,91.4,59,75,8.05
Provideniya,64.42,-173.23,17.6,52,0,6.71
Puerto Ayacucho,5.66,-67.63,72.01,100,88,2.55
Puerto Ayora,-0.74,-90.35,74.35,100,0,6.13
Punta Arenas,-53.16,-70.91,39.2,80,75,12.75
Qaanaaq,77.48,-69.36,-14.66,86,0,5.64
Qaqortoq,60.72,-46.03,37.4,29,68,6.93
Quesnel,52.98,-122.49,32.0,69,90,2.28
Raahe,64.68,24.47,37.4,100,90,4.7
Rakiv Lis,51.62,24.92,50.86,99,92,12.12
Ramban,33.24,75.24,71.92,60,56,2.89
Rawson,-43.3,-65.11,45.28,44,0,10.33
Reo,12.32,-2.47,69.13,74,0,3.56
Revda,67.94,34.55,29.26,94,92,3.06
Ribeira Grande,38.52,-28.7,60.13,100,56,32.48
Richards Bay,-28.77,32.06,75.88,86,0,3.74
Rikitea,-23.12,-134.97,78.67,100,68,4.9
Ritchie,-29.03,24.6,62.6,72,0,5.82
Riverton,43.02,-108.38,35.08,62,90,10.29
Riyadh,24.63,46.72,68.0,68,75,4.7
Rjukan,59.88,8.59,35.6,43,0,5.82
Roald,62.58,6.12,33.19,100,75,5.82
Rocha,-34.48,-54.34,58.78,91,0,3.33
Rodrigues Alves,-7.74,-72.65,73.36,95,0,2.55
Romny,50.74,33.49,40.15,97,12,12.06
Rosarito,4.91,-75.23,64.4,100,40,2.24
Rossland,49.08,-117.8,32.86,99,88,1.88
Sabha,27.03,14.43,66.97,35,0,14.92
Saint George,39.45,22.34,59.0,58,40,9.17
Saint-Augustin,44.83,-0.61,47.21,76,0,4.7
Saint-Joseph,43.56,6.97,44.24,87,20,4.7
Saint-Leu,-21.15,55.28,83.26,58,0,3.36
Saint-Philippe,45.36,-73.48,20.71,62,40,6.93
Saint-Pierre,48.95,4.24,38.39,86,0,13.87
Sakaiminato,35.55,133.23,53.6,81,75,13.87
Salalah,17.01,54.1,82.4,74,40,6.93
Saldanha,41.42,-6.55,39.34,89,8,6.58
Samana,0.12,-76.97,72.19,94,48,1.77
San Andres,13.32,122.68,77.5,100,92,8.14
San Jeronimo,-13.65,-73.37,36.64,94,48,1.61
San Joaquin,10.59,122.14,81.64,82,24,8.77
San Jose de Rio Tinto,14.93,-85.7,67.87,85,92,2.28
San Juan de la Maguana,18.81,-71.23,66.34,100,100,1.54
San Pedro,-33.68,-59.66,72.28,69,68,17.38
San Policarpo,12.18,125.51,82.54,89,64,7.81
San Quintin,17.54,120.52,89.6,59,20,9.17
San-Pedro,4.75,-6.64,75.79,98,20,4.52
Santa Isabel,4.71,-75.1,60.94,98,92,2.1
Santana,-0.06,-51.18,77.0,100,90,2.24
Santo Antonio do Ica,-3.1,-67.94,74.89,98,80,5.01
Sao Felix do Xingu,-6.64,-51.99,73.81,96,68,2.73
Sao Filipe,14.9,-24.5,70.57,99,0,17.2
Sao Joao da Barra,-21.64,-41.05,75.88,100,80,7.02
Sao Joao do Piaui,-8.36,-42.25,69.58,96,8,2.89
Sao Joaquim da Barra,-20.58,-47.85,64.18,85,0,3.0
Sao Paulo de Olivenca,-3.38,-68.87,73.9,98,48,2.84
Saskylakh,71.97,114.09,18.01,86,24,14.7
Sciacca,37.51,13.08,51.8,87,90,2.24
Semikarakorsk,47.52,40.81,48.61,89,20,6.35
Senno,57.76,27.95,44.6,93,32,4.47
Seoul,37.57,126.98,48.22,84,75,20.8
Sept-Iles,50.2,-66.38,8.6,50,75,10.29
Serebryansk,49.68,83.3,55.4,39,75,4.47
Severo-Kurilsk,50.68,156.12,28.99,100,24,26.93
Shellbrook,53.22,-106.39,3.2,49,5,11.41
Sherlovaya Gora,50.53,116.31,34.84,24,0,18.72
Shimoda,34.7,138.93,65.75,87,75,16.11
Shingu,33.72,135.99,66.2,93,75,14.99
Shwebo,22.57,95.7,86.5,79,0,4.63
Siavonga,-16.54,28.71,71.11,88,64,3.74
Sioux Lookout,50.1,-91.92,11.48,78,20,6.93
Sistranda,63.73,8.83,37.4,69,75,13.87
Sitka,37.17,-99.65,50.5,55,0,8.77
Skibbereen,51.55,-9.27,46.4,93,75,23.04
Smithers,54.78,-127.17,26.6,63,90,13.87
Sokol,59.46,40.11,36.46,95,80,13.96
Sokoni,-12.89,28.78,65.08,98,56,3.56
Sol-Iletsk,51.16,55.0,34.39,96,76,8.88
Solenzo,12.18,-4.08,74.98,71,0,8.55
Solnechnyy,50.72,136.64,33.13,60,56,3.51
Souillac,45.6,-0.6,47.39,75,0,8.05
Sovetskaya Gavan,48.97,140.29,33.13,73,64,9.04
Srednekolymsk,67.46,153.71,27.19,75,0,4.0
Srisailam,16.07,78.87,92.71,38,0,4.23
Sterling,39.0,-77.4,44.49,52,90,3.36
Store Heddinge,55.31,12.39,36.77,94,0,20.8
Sun City West,33.66,-112.34,76.75,15,1,5.82
Susuman,62.78,148.15,31.33,79,36,8.14
Svetlaya,46.54,138.33,35.11,89,8,10.33
Svetlogorsk,53.14,59.15,33.8,86,75,4.47
Svobodnyy,53.85,40.53,37.0,93,0,11.83
Sydney,-33.85,151.22,80.1,73,75,11.41
Tabou,4.42,-7.36,81.1,100,56,5.79
Tacuarembo,-31.73,-55.98,60.04,85,0,2.84
Takaka,-40.86,172.81,63.46,78,0,10.83
Talnakh,69.49,88.39,-10.7,90,0,6.58
Tamsweg,47.13,13.81,37.4,100,90,5.82
Taoudenni,22.68,-3.98,70.84,18,68,9.04
Tasiilaq,65.61,-37.64,17.6,78,56,1.12
Tatarsk,55.22,75.96,36.91,100,88,7.31
Te Anau,-45.41,167.72,48.52,100,92,2.77
Teacapan,22.54,-105.74,61.48,80,0,1.61
Teguldet,57.31,88.17,40.42,51,12,3.62
Teya,21.05,-89.07,77.0,69,5,12.75
The Valley,18.22,-63.06,77.0,78,20,13.87
Thompson,55.74,-97.86,10.4,72,90,13.87
Tigil,57.8,158.67,33.67,84,0,12.46
Tiksi,71.64,128.87,11.26,84,48,4.0
Tiznit,29.7,-9.73,58.06,96,92,3.4
Tonota,-21.44,27.46,60.8,100,0,1.12
Torbay,47.66,-52.73,32.0,99,90,17.22
Touros,-5.2,-35.46,77.14,96,88,3.29
Trapani,38.02,12.54,51.8,76,0,4.7
Trojan,44.34,-103.84,22.68,92,75,11.41
Tual,-5.67,132.75,83.71,100,24,5.91
Tuatapere,-46.13,167.69,51.04,100,76,12.17
Tuktoyaktuk,69.44,-133.03,3.58,77,5,12.75
Tura,25.52,90.21,66.88,98,92,5.53
Turinsk,58.04,63.7,35.11,89,92,7.54
Tynda,55.15,124.74,25.84,51,80,9.66
Ugoofaaru,5.67,73.0,83.98,100,20,4.07
Umm Lajj,25.02,37.27,74.53,89,0,3.74
Upernavik,72.79,-56.15,-4.94,83,0,2.62
Ushuaia,-54.81,-68.31,35.6,100,75,6.93
Usinsk,66.0,57.56,28.36,96,0,6.58
Ust-Kuyga,70.0,135.55,20.53,90,32,4.0
Ust-Nera,64.57,143.24,30.52,81,0,2.51
Ust-Tsilma,65.44,52.15,37.81,68,8,5.86
Utiel,39.57,-1.21,51.8,76,40,5.82
Vaini,15.34,74.49,87.31,59,44,3.29
Valdez,61.13,-146.35,35.6,43,1,4.7
Valenca,-13.37,-39.07,72.82,89,12,3.78
Valparaiso,41.47,-87.06,34.83,93,90,9.17
Vardo,39.62,-77.74,40.21,56,90,6.93
Varhaug,58.61,5.65,37.4,99,40,9.17
Verkh-Usugli,52.7,115.17,30.88,25,64,5.01
Verkhnevilyuysk,63.45,120.31,27.82,63,0,4.12
Vestmanna,62.16,-7.17,32.0,100,68,4.7
Victoria,5.28,115.24,90.52,59,75,5.82
Victoria Point,-27.58,153.3,76.53,88,75,13.87
